Miami Temp,,
year,avg_temp,moving_average
1781,23.39,
1782,23.45,
1783,22.44,
1784,22.57,
1785,22.24,
1786,22.81,
1787,22.86,
1788,23.21,
1789,23.01,
1790,22.88,22.886
1791,23.17,22.864
1792,22.73,22.792
1793,23.04,22.852
1794,23.21,22.916
1795,20.52,22.744
1796,22.89,22.752
1797,22.91,22.757
1798,23.47,22.783
1799,23.25,22.807
1800,23.06,22.825
1801,23.38,22.846
1802,23.53,22.926
1803,23.36,22.958
1804,23.45,22.982
1805,23.41,23.271
1806,23.13,23.295
1807,22.91,23.295
1808,22.66,23.214
1809,21.81,23.07
1810,21.85,22.949
1811,22.04,22.815
1812,21.53,22.615
1813,22.5,22.529
1814,22.24,22.408
1815,21.96,22.263
1816,21.54,22.104
1817,21.66,21.979
1818,22.4,21.953
1819,22.1,21.982
1820,22.25,22.022
1821,22.42,22.06
1822,23.08,22.215
1823,22.44,22.209
1824,23.4,22.325
1825,23.26,22.455
1826,23.45,22.646
1827,23.97,22.877
1828,24.18,23.055
1829,22.81,23.126
1830,23.81,23.282
1831,22.66,23.306
1832,22.93,23.291
1833,23.08,23.355
1834,23.6,23.375
1835,22.67,23.316
1836,22.55,23.226
1837,22.85,23.114
1838,22.46,22.942
1839,22.9,22.951
1840,22.89,22.859
1841,22.4,22.833
1842,22.91,22.831
1843,22.28,22.751
1844,22.27,22.618
1845,22.14,22.565
1846,22.75,22.585
1847,22.71,22.571
1848,22.98,22.623
1849,23.54,22.687
1850,23.36,22.734
1851,22.81,22.775
1852,22.57,22.741
1853,22.87,22.8
1854,22.78,22.851
1855,22.69,22.906
1856,22.78,22.909
1857,22.33,22.871
1858,22.6,22.833
1859,23.01,22.78
1860,22.8,22.724
1861,23.26,22.769
1862,23.36,22.848
1863,22.94,22.855
1864,22.39,22.816
1865,23.15,22.862
1866,23.04,22.888
1867,23.08,22.963
1868,22.75,22.978
1869,23.22,22.999
1870,22.95,23.014
1871,22.99,22.987
1872,22.56,22.907
1873,22.52,22.865
1874,23,22.926
1875,23.08,22.919
1876,22.77,22.892
1877,22.91,22.875
1878,22.88,22.888
1879,22.85,22.851
1880,23.44,22.9
1881,23.14,22.915
1882,23.36,22.995
1883,23.53,23.096
1884,23.09,23.105
1885,22.41,23.038
1886,22.08,22.969
1887,22.65,22.943
1888,22.78,22.933
1889,22.53,22.901
1890,23.11,22.868
1891,22.73,22.827
1892,22.45,22.736
1893,22.87,22.67
1894,22.84,22.645
1895,22.47,22.651
1896,22.84,22.727
1897,23.21,22.783
1898,22.92,22.797
1899,23.11,22.855
1900,22.93,22.837
1901,21.94,22.758
1902,22.85,22.798
1903,22.64,22.775
1904,22.62,22.753
1905,23.12,22.818
1906,22.69,22.803
1907,23.19,22.801
1908,23.12,22.821
1909,23.09,22.819
1910,21.99,22.725
1911,23.69,22.9
1912,23.61,22.976
1913,23.29,23.041
1914,22.8,23.059
1915,22.66,23.013
1916,23.02,23.046
1917,22.59,22.986
1918,23.06,22.98
1919,23.17,22.988
1920,22.63,23.052
1921,23.4,23.023
1922,23.54,23.016
1923,23.18,23.005
1924,23.09,23.034
1925,23.31,23.099
1926,23.06,23.103
1927,23.39,23.183
1928,22.9,23.167
1929,23.73,23.223
1930,22.91,23.251
1931,22.81,23.192
1932,23.55,23.193
1933,23.47,23.222
1934,23.04,23.217
1935,22.83,23.169
1936,23.22,23.185
1937,23.17,23.163
1938,23.2,23.193
1939,23.47,23.167
1940,22.38,23.114
1941,23.18,23.151
1942,22.97,23.093
1943,22.88,23.034
1944,23.28,23.058
1945,23.49,23.124
1946,23.94,23.196
1947,23.54,23.233
1948,24.25,23.338
1949,23.84,23.375
1950,23.19,23.456
1951,23.17,23.455
1952,23.34,23.492
1953,23.63,23.567
1954,22.96,23.535
1955,23.06,23.492
1956,22.89,23.387
1957,23.65,23.398
1958,22.85,23.258
1959,23.62,23.236
1960,22.93,23.21
1961,23.28,23.221
1962,23,23.187
1963,22.88,23.112
1964,23.47,23.163
1965,23.41,23.198
1966,22.8,23.189
1967,23.4,23.164
1968,22.51,23.13
1969,22.75,23.043
1970,22.77,23.027
1971,23.36,23.035
1972,23.79,23.114
1973,23.31,23.157
1974,23.6,23.17
1975,24.04,23.233
1976,23,23.253
1977,22.98,23.211
1978,23.28,23.288
1979,23.49,23.362
1980,23.37,23.422
1981,22.95,23.381
1982,24.14,23.416
1983,23.2,23.405
1984,23.26,23.371
1985,23.42,23.309
1986,23.83,23.392
1987,23.32,23.426
1988,23.25,23.423
1989,23.77,23.451
1990,24.33,23.547
1991,24.11,23.663
1992,23.36,23.585
1993,23.49,23.614
1994,24.16,23.704
1995,23.6,23.722
1996,23.21,23.66
1997,24,23.728
1998,24.28,23.831
1999,23.66,23.82
2000,23.5,23.737
2001,23.7,23.696
2002,24.11,23.771
2003,24,23.822
2004,23.69,23.775
2005,23.64,23.779
2006,23.77,23.835
2007,24.12,23.847
2008,23.78,23.797
2009,23.9,23.821
2010,22.75,23.746
2011,24.23,23.799
2012,23.92,23.78
2013,24.44,23.824
